state_index,energy_hartree,excitation_energy_hartree
0,-1.9514159138551728,0.0
1,-1.860360434481202,0.09105547937397085
2,-1.8150767418032756,0.13633917205189716
3,-1.7702780555917228,0.18113785826344997
4,-1.7647613422087165,0.18665457164645627
5,-1.750062087187389,0.20135382666778368
6,-1.4944436859306867,0.4569722279244861
7,-1.443826388109633,0.5075895257455398
8,-1.377156029262884,0.5742598845922888
9,-1.3550759773027046,0.5963399365524682
10,-1.353311217966719,0.5981046958884537
11,-1.3295476961989687,0.621868217656204
12,-1.3189014160514692,0.6325144978037036
13,-1.2829727296154674,0.6684431842397054
14,-1.2783922487698205,0.6730236650853523
15,-1.2403362194429008,0.7110796944122719
16,-1.1738973981512075,0.7775185157039652
17,-1.1654606071377471,0.7859553067174256
18,-1.1537628349534959,0.7976530789016769
19,-1.1472166059817652,0.8041993078734075
20,-1.0572426845203586,0.8941732293348141
21,-1.04824976081508,0.9031661530400927
22,-1.0361032503959522,0.9153126634592206
23,-0.9939559490586208,0.9574599647965519
24,-0.7955792757466394,1.1558366381085334
25,-0.3389718260304457,1.612444087824727
26,-0.33262317512046974,1.618792738734703
