iteration,state_index,energy_hartree,thermal_weight,occupation
5,15,-1.2458571590990246,0.024183515132131232,0 1 6 5
5,16,-1.1807183145101021,0.019890747510589623,0 7 4 3
5,17,-1.1807183145101012,0.01989074751058957,6 1 2 5
5,18,-1.1762402288274971,0.019625317018435416,4 5 2 3
5,19,-1.1445955098028797,0.01784790724667559,4 1 2 7
5,20,-1.1445955096096334,0.01784790723632846,0 5 6 3
5,21,-1.0736509263987528,0.014426293946823241,4 7 2 3
5,22,-1.073650926398752,0.014426293946823203,6 5 2 3
5,23,-0.9974535787635171,0.011478324917687974,0 7 6 3
5,24,-0.9974535787635163,0.011478324917687943,6 1 2 7
5,25,-0.9905115811094626,0.011241749414224416,0 1 6 7
5,26,-0.9771279382854193,0.010799324066295003,6 7 2 3
6,0,-1.9486149201216918,0.19717425851065581,0 1 2 3
6,1,-1.6192858541594142,0.07341297571283929,0 1 2 5
6,2,-1.61928585415941,0.07341297571283839,0 1 4 3
6,3,-1.5382085559380727,0.0575623556418296,0 5 2 3
6,4,-1.5382085508081158,0.057562354755952394,4 1 2 3
6,5,-1.4726845994104318,0.04728990919963271,0 1 6 3
6,6,-1.4726845941787534,0.047289908457415916,0 1 2 7
6,7,-1.4192511901781355,0.04028570570481041,6 1 2 3
6,8,-1.419251190178134,0.04028570570481023,0 7 2 3
6,9,-1.4159502865904816,0.0398887367915131,0 1 4 5
6,10,-1.315098252794368,0.029474865898100357,4 1 2 5
6,11,-1.3150982527943649,0.029474865898100083,0 5 4 3
6,12,-1.2733011138370696,0.026001298520185352,0 5 2 7
6,13,-1.2733011138370687,0.026001298520185283,4 1 6 3
6,14,-1.2458571590990166,0.023946318971216136,0 1 4 7
6,15,-1.2458571590990157,0.023946318971216074,0 1 6 5
6,16,-1.1807183145100941,0.019695655567939202,0 7 4 3
6,17,-1.1807183145100928,0.019695655567939122,6 1 2 5
6,18,-1.1576426380014582,0.018378307930984945,4 5 2 3
6,19,-1.1365701068515124,0.017252437863320334,0 5 6 3
6,20,-1.1365700910619159,0.01725243704609325,4 1 2 7
6,21,-1.0736509263987457,0.014284798323803912,6 5 2 3
6,22,-1.0736509263987448,0.014284798323803877,4 7 2 3
6,23,-1.0187045794999725,0.012113940257392668,0 1 6 7
6,24,-0.9974535787635116,0.011365743492310643,0 7 6 3
6,25,-0.99745357876351,0.011365743492310586,6 1 2 7
6,26,-0.9955384213150115,0.011300629162800292,6 7 2 3
7,0,-1.95268471057333,0.19808723891359345,0 1 2 3
7,1,-1.6346039063202822,0.07628414522434562,0 1 4 3
7,2,-1.6159386264845876,0.0721299448530656,0 1 2 5
7,3,-1.5390645600782231,0.057274017994603965,0 5 2 3
7,4,-1.5390214720208117,0.05726661499455905,4 1 2 3
7,5,-1.473929558420563,0.04710796418826255,0 1 6 3
7,6,-1.4738858857820736,0.04710179260529546,0 1 2 7
7,7,-1.4358645124439824,0.04202425450620866,0 7 2 3
7,8,-1.4130095135065666,0.03923942350329457,0 1 4 5
7,9,-1.4101315504430494,0.03890209300144845,6 1 2 3
7,10,-1.31509825279436,0.029252006244913413,0 5 4 3
7,11,-1.3150982527943587,0.029252006244913295,4 1 2 5
7,12,-1.2733011138370713,0.025804702532585964,4 1 6 3
7,13,-1.273301113837071,0.025804702532585926,0 5 2 7
7,14,-1.2458571590990135,0.023765260697381448,0 1 4 7
7,15,-1.2458571590990126,0.02376526069738138,0 1 6 5
7,16,-1.1948149480611987,0.020391094199772003,0 7 4 3
7,17,-1.169105372850597,0.018877477051933426,6 1 2 5
7,18,-1.157511451650501,0.018232172576185375,0 5 6 3
7,19,-1.1573542802450356,0.018223577874041275,4 1 2 7
7,20,-1.1465352371564164,0.017641588789972382,4 5 2 3
7,21,-1.0736509263987422,0.014176790870562606,6 5 2 3
7,22,-1.0736509263987408,0.014176790870562556,4 7 2 3
7,23,-1.008012734231634,0.011642842403192313,0 1 6 7
7,24,-0.9974535787635065,0.011279807031677972,0 7 6 3
7,25,-0.9974535787635063,0.011279807031677967,6 1 2 7
7,26,-0.9895839573405029,0.011016622565983321,6 7 2 3
8,0,-1.9636811149807916,0.2025080526521779,0 1 2 3
8,1,-1.630640883035275,0.07456408493560146,0 1 2 5
8,2,-1.6305499357520388,0.07454374350786835,0 1 4 3
8,3,-1.5397181499447548,0.05676334352013995,4 1 2 3
8,4,-1.5397157029624107,0.056762926824971256,0 5 2 3
8,5,-1.4752333976387761,0.046779098967751266,0 1 2 7
8,6,-1.4752310012992533,0.04677876267314902,0 1 6 3
8,7,-1.425029491047992,0.04023852138219654,6 1 2 3
8,8,-1.4248436226301782,0.04021609042567392,0 7 2 3
8,9,-1.4098330246420452,0.03844525882949443,0 1 4 5
8,10,-1.3150982527943533,0.028934396143106233,0 5 4 3
8,11,-1.3150982527943502,0.028934396143105962,4 1 2 5
8,12,-1.273301113837059,0.025524522290250734,4 1 6 3
8,13,-1.273301113837059,0.025524522290250734,0 5 2 7
8,14,-1.2458571590990037,0.023507224144046292,0 1 4 7
8,15,-1.2458571590990024,0.023507224144046202,0 1 6 5
8,16,-1.1842663783895393,0.01954140293543095,6 1 2 5
8,17,-1.1842435332841201,0.019540063705093463,0 7 4 3
8,18,-1.181863956021368,0.01940106914390389,4 1 2 7
8,19,-1.1818514171631307,0.019400339355863095,0 5 6 3
8,20,-1.1290693833352865,0.016559243358526543,4 5 2 3
8,21,-1.0736509263987337,0.014022863240642062,4 7 2 3
8,22,-1.0736509263987333,0.014022863240642038,6 5 2 3
8,23,-0.9974535787634996,0.011157334041972533,6 1 2 7
8,24,-0.9974535787634989,0.011157334041972508,0 7 6 3
8,25,-0.991479319591116,0.01095914498073991,0 1 6 7
8,26,-0.9836947305360146,0.010706173081382822,6 7 2 3
9,0,-1.9643226801717986,0.20268382781135022,0 1 2 3
9,1,-1.6344563562998775,0.07534279460336113,0 1 2 5
9,2,-1.6277557666043638,0.07384339195648244,0 1 4 3
9,3,-1.5426241065243316,0.05719986541346474,4 1 2 3
9,4,-1.5381989546449633,0.05644552929401512,0 5 2 3
9,5,-1.4782961870398683,0.04716102391833264,0 1 6 3
9,6,-1.4734835635396453,0.04648501099880081,0 1 2 7
9,7,-1.4297157462872874,0.0407651057708619,0 7 2 3
9,8,-1.421416900622461,0.039762725481476476,6 1 2 3
9,9,-1.4060653790870845,0.037972999327598685,0 1 4 5
9,10,-1.3150982527943422,0.028903826300090474,4 1 2 5
9,11,-1.3150982527943413,0.028903826300090397,0 5 4 3
9,12,-1.2750113661943316,0.02562871299893944,0 5 2 7
9,13,-1.2715469888532227,0.02536372978911958,4 1 6 3
9,14,-1.245857159098998,0.02348238823082195,0 1 6 5
9,15,-1.2458571590989949,0.023482388230821733,0 1 4 7
9,16,-1.1861341313154334,0.01963044386987168,0 5 6 3
9,17,-1.1860910120482273,0.01962790468304322,4 1 2 7
9,18,-1.1813373704855104,0.019349979060975284,6 1 2 5
9,19,-1.181331233708085,0.01934962282471046,0 7 4 3
9,20,-1.1320970337807703,0.016692680455095723,4 5 2 3
9,21,-1.0736509263987288,0.014008047768918709,4 7 2 3
9,22,-1.0736509263987262,0.014008047768918596,6 5 2 3
9,23,-0.9974535787634927,0.01114554606656615,0 7 6 3
9,24,-0.9974535787634925,0.011145546066566146,6 1 2 7
9,25,-0.9943681386275901,0.011042855323471943,0 1 6 7
9,26,-0.9798489223756149,0.010572179686234421,6 7 2 3
10,0,-1.9657490379650486,0.20330052541569754,0 1 2 3
10,1,-1.6314487532878326,0.07457344293752137,0 1 4 3
10,2,-1.631442629149325,0.07457207285582669,0 1 2 5
10,3,-1.5409910707784988,0.05684972617183709,0 5 2 3
10,4,-1.5409904409824717,0.05684961876074349,4 1 2 3
10,5,-1.4763364898432652,0.04682642408091574,0 1 2 7
10,6,-1.4763341866927693,0.046826100537127976,0 1 6 3
10,7,-1.4260269408162827,0.040266466009804464,0 7 2 3
10,8,-1.4260183044790857,0.04026542275898477,6 1 2 3
10,9,-1.4017963182106978,0.03744327592592689,0 1 4 5
10,10,-1.3150982527943404,0.02886797789705438,0 5 4 3
10,11,-1.3150982527943391,0.02886797789705426,4 1 2 5
10,12,-1.273249273532591,0.02546197115486615,4 1 6 3
10,13,-1.273248892819594,0.0254619420737727,0 5 2 7
10,14,-1.2458571590989909,0.023453263847468018,0 1 6 5
10,15,-1.2458571590989895,0.023453263847467924,0 1 4 7
10,16,-1.191002534082733,0.019894549374210275,4 1 2 7
10,17,-1.1909965368497266,0.019894191440685733,0 5 6 3
10,18,-1.1778555380277203,0.019125161139163505,0 7 4 3
10,19,-1.1778554655523399,0.019125156980853975,6 1 2 5
10,20,-1.1352588461983117,0.016830870496422557,4 5 2 3
10,21,-1.073650926398723,0.013990674078080684,4 7 2 3
10,22,-1.0736509263987217,0.013990674078080623,6 5 2 3
10,23,-0.9974535787634918,0.011131722636294238,6 1 2 7
10,24,-0.9974535787634901,0.011131722636294179,0 7 6 3
10,25,-0.997287692107232,0.011126184201797474,0 1 6 7
10,26,-0.9754174832262174,0.01041962076604707,6 7 2 3
11,0,-1.9537857207219833,0.19537201292280085,0 1 2 3
11,1,-1.6617759694726155,0.08135938932987964,0 1 2 5
11,2,-1.6615278973576701,0.08129886286771926,0 1 4 3
11,3,-1.537191273416255,0.05598714762873726,4 1 2 3
11,4,-1.5371394529961273,0.05597844447272097,0 5 2 3
11,5,-1.4753564188041706,0.046507686217264206,0 1 6 3
11,6,-1.4753276581130967,0.04650367361078715,0 1 2 7
11,7,-1.460747453494216,0.04451341916567467,0 1 4 5
11,8,-1.3842769055645983,0.03538822204584051,6 1 2 3
11,9,-1.3840767822843074,0.03536698240106116,0 7 2 3
11,10,-1.3150982527943293,0.028755903804939194,0 5 4 3
11,11,-1.3150982527943271,0.028755903804939007,4 1 2 5
11,12,-1.2843453203789195,0.026221620978821716,0 5 2 7
11,13,-1.2843353528314478,0.026220836894789188,4 1 6 3
11,14,-1.245857159098981,0.023362211288739672,0 1 4 7
11,15,-1.2458571590989775,0.023362211288739422,0 1 6 5
11,16,-1.2092224502961275,0.020930672951058316,6 1 2 5
11,17,-1.2092173147740213,0.020930350483741467,0 7 4 3
11,18,-1.1930033137469214,0.019936620739984708,4 1 2 7
11,19,-1.1929753786855686,0.019934950017822653,0 5 6 3
11,20,-1.0736509263987128,0.013936358112446687,4 7 2 3
11,21,-1.073650926398712,0.013936358112446649,6 5 2 3
11,22,-1.0508300617777118,0.013014166863667274,6 7 2 3
11,23,-1.025327639278425,0.012055623786660757,4 5 2 3
11,24,-0.9974535787634827,0.011088505972051675,0 7 6 3
11,25,-0.9974535787634825,0.011088505972051665,6 1 2 7
11,26,-0.8965918402743722,0.008193358264614165,0 1 6 7
12,0,-1.9662591428752223,0.20126381972588914,0 1 2 3
12,1,-1.6634361215151332,0.08113768442141368,0 1 4 3
12,2,-1.6634244435861096,0.08113484191084652,0 1 2 5
12,3,-1.538683954526456,0.05580653729448191,4 1 2 3
12,4,-1.5386811265478229,0.05580606383740512,0 5 2 3
12,5,-1.4762620804527171,0.04627608921800609,0 1 2 7
12,6,-1.476258651027688,0.046275613119319346,0 1 6 3
12,7,-1.4465777052350723,0.04233322634339863,0 1 4 5
12,8,-1.3906081841740228,0.035789827582266134,0 7 2 3
12,9,-1.390590934545543,0.035787975546499505,6 1 2 3
12,10,-1.3150982527943245,0.028535071598830057,4 1 2 5
12,11,-1.3150982527943245,0.028535071598830057,0 5 4 3
12,12,-1.284888894939327,0.026062717362670865,4 1 6 3
12,13,-1.2848888079717982,0.02606271056284138,0 5 2 7
12,14,-1.2458571590989775,0.023182800177425848,0 1 6 5
12,15,-1.245857159098977,0.02318280017742582,0 1 4 7
12,16,-1.209377254825288,0.020779583023675992,6 1 2 5
12,17,-1.209367614282556,0.020778982052992293,0 7 4 3
12,18,-1.1844262612998704,0.019280957265699332,4 1 2 7
12,19,-1.1844168564746107,0.019280413271271852,0 5 6 3
12,20,-1.073650926398712,0.013829333247988585,4 7 2 3
12,21,-1.073650926398711,0.013829333247988549,6 5 2 3
12,22,-1.0411891420799766,0.012546058857516031,6 7 2 3
