iteration,state_index,energy_hartree,excitation_energy_hartree,tepid_free_energy_hartree,tepid_entropy
1,0,-1.9632920173831236,0.0,-2.4526905667511536,3.077205755161081
1,1,-1.8840462444504895,0.07924577293263413,-2.4526905667511536,3.077205755161081
1,2,-1.8077600853908289,0.15553193199229476,-2.4526905667511536,3.077205755161081
1,3,-1.7702780555917135,0.19301396179141017,-2.4526905667511536,3.077205755161081
1,4,-1.7647613422087067,0.19853067517441692,-2.4526905667511536,3.077205755161081
1,5,-1.7529849303367497,0.2103070870463739,-2.4526905667511536,3.077205755161081
1,6,-1.5068406547499174,0.4564513626332063,-2.4526905667511536,3.077205755161081
1,7,-1.443826388109625,0.5194656292734987,-2.4526905667511536,3.077205755161081
1,8,-1.388191687482208,0.5751003299009156,-2.4526905667511536,3.077205755161081
1,9,-1.3549741645248865,0.6083178528582371,-2.4526905667511536,3.077205755161081
1,10,-1.353453595871549,0.6098384215115746,-2.4526905667511536,3.077205755161081
1,11,-1.3191143196710402,0.6441776977120834,-2.4526905667511536,3.077205755161081
1,12,-1.3189393523225827,0.6443526650605409,-2.4526905667511536,3.077205755161081
1,13,-1.2859050756289445,0.6773869417541791,-2.4526905667511536,3.077205755161081
1,14,-1.2783922487698125,0.6848997686133111,-2.4526905667511536,3.077205755161081
1,15,-1.2536516396306896,0.709640377752434,-2.4526905667511536,3.077205755161081
1,16,-1.1738973981511998,0.7893946192319239,-2.4526905667511536,3.077205755161081
1,17,-1.1657808736816746,0.797511143701449,-2.4526905667511536,3.077205755161081
1,18,-1.1503532308062252,0.8129387865768984,-2.4526905667511536,3.077205755161081
1,19,-1.1472166059817595,0.8160754114013642,-2.4526905667511536,3.077205755161081
1,20,-1.0572956077697346,0.905996409613389,-2.4526905667511536,3.077205755161081
1,21,-1.0482294015482814,0.9150626158348423,-2.4526905667511536,3.077205755161081
1,22,-1.0312747827837898,0.9320172345993338,-2.4526905667511536,3.077205755161081
1,23,-0.985517873577476,0.9777741438056476,-2.4526905667511536,3.077205755161081
1,24,-0.7933243823113083,1.1699676350718153,-2.4526905667511536,3.077205755161081
1,25,-0.34305521793238225,1.6202367994507414,-2.4526905667511536,3.077205755161081
1,26,-0.33690360024814936,1.6263884171349743,-2.4526905667511536,3.077205755161081
2,0,-1.9686289921752418,0.0,-2.4592995201714665,3.061102037255629
2,1,-1.8845825143064843,0.08404647786875752,-2.4592995201714665,3.061102037255629
2,2,-1.8042643956012112,0.16436459657403057,-2.4592995201714665,3.061102037255629
2,3,-1.7898568545387519,0.17877213763648991,-2.4592995201714665,3.061102037255629
2,4,-1.755688476620925,0.2129405155543167,-2.4592995201714665,3.061102037255629
2,5,-1.7530123473216974,0.21561664485354437,-2.4592995201714665,3.061102037255629
